
2025/01/05 (16:16:48) | ===> btop++ v.1.4.0
2025/01/05 (16:16:48) | INFO: Logger set to DEBUG
2025/01/05 (16:16:48) | DEBUG: Using locale en_US.UTF-8
2025/01/05 (16:16:48) | INFO: Running on /dev/pts/1
2025/01/05 (16:16:48) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/05 (16:16:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/05 (16:16:48) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/05 (16:16:48) | DEBUG: Shared::init() : Initialized.
2025/01/05 (16:17:11) | DEBUG: Writing new config file
2025/01/05 (16:17:11) | INFO: Quitting! Runtime: 00:00:23

2025/01/05 (21:13:18) | ===> btop++ v.1.4.0
2025/01/05 (21:13:18) | INFO: Logger set to DEBUG
2025/01/05 (21:13:18) | DEBUG: Using locale en_US.UTF-8
2025/01/05 (21:13:18) | INFO: Running on /dev/pts/1
2025/01/05 (21:13:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/05 (21:13:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/05 (21:13:18) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/05 (21:13:18) | DEBUG: Shared::init() : Initialized.
2025/01/05 (21:13:21) | INFO: Quitting! Runtime: 00:00:03

2025/01/05 (21:31:38) | ===> btop++ v.1.4.0
2025/01/05 (21:31:38) | INFO: Logger set to DEBUG
2025/01/05 (21:31:38) | DEBUG: Using locale en_US.UTF-8
2025/01/05 (21:31:38) | INFO: Running on /dev/pts/1
2025/01/05 (21:31:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/05 (21:31:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/05 (21:31:38) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/05 (21:31:38) | DEBUG: Shared::init() : Initialized.
2025/01/05 (21:31:43) | INFO: Quitting! Runtime: 00:00:05

2025/01/06 (15:48:42) | ===> btop++ v.1.4.0
2025/01/06 (15:48:42) | INFO: Logger set to DEBUG
2025/01/06 (15:48:42) | DEBUG: Using locale en_US.UTF-8
2025/01/06 (15:48:42) | INFO: Running on /dev/pts/5
2025/01/06 (15:48:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/06 (15:48:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/06 (15:48:42) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/01/06 (15:48:42) | DEBUG: Shared::init() : Initialized.
2025/01/06 (15:48:49) | INFO: Quitting! Runtime: 00:00:07

2025/01/07 (22:00:24) | ===> btop++ v.1.4.0
2025/01/07 (22:00:24) | INFO: Logger set to DEBUG
